task,dimension,eps,percent,LOSS,AUC-best,Accuracy-best,Sensitivity-best,Specifity-best
meniscus,sagittal,0.05,0.1,0.3168,0.7039,0.5917,0.8462,0.3971
abnormal,coronal,0.05,0.1,0.1572,0.8808,0.7417,0.7053,0.88
meniscus,axial,0.05,0.1,0.3233,0.7073,0.5667,0.9615,0.2647
abnormal,axial,0.05,0.1,0.1549,0.9187,0.8667,0.9053,0.72
acl,coronal,0.00008,0.1,0.185,0.9265,0.85,0.8704,0.8333
acl,sagittal,0.00008,0.1,0.1797,0.9349,0.85,0.7778,0.9091
acl,axial,0.00008,0.1,0.1479,0.9526,0.8583,0.7778,0.9242
meniscus,coronal,0.00008,0.1,0.2551,0.8411,0.7583,0.75,0.7647
abnormal,sagittal,0.00008,0.1,0.0974,0.9562,0.7917,0.7474,0.96
meniscus,sagittal,0.00008,0.1,0.2795,0.7808,0.625,0.9423,0.3824
abnormal,coronal,0.00008,0.1,0.1483,0.8834,0.7333,0.6947,0.88
meniscus,axial,0.00008,0.1,0.2458,0.8371,0.7667,0.75,0.7794
abnormal,axial,0.00008,0.1,0.1174,0.9432,0.8083,0.7684,0.96
acl,coronal,0.00001,0.2,0.1853,0.9259,0.8417,0.9259,0.7727
acl,sagittal,0.00001,0.2,0.1772,0.931,0.8167,0.9074,0.7424
acl,axial,0.00001,0.2,0.147,0.9559,0.85,0.9815,0.7424
meniscus,coronal,0.00001,0.2,0.2535,0.8348,0.7917,0.8077,0.7794
abnormal,sagittal,0.00001,0.2,0.0953,0.9554,0.7833,0.7474,0.92
meniscus,sagittal,0.00001,0.2,0.2779,0.7904,0.7083,0.8654,0.5882
abnormal,coronal,0.00001,0.2,0.151,0.8825,0.7333,0.6842,0.92
meniscus,axial,0.00001,0.2,0.2497,0.836,0.7167,0.5,0.8824
abnormal,axial,0.00001,0.2,0.1124,0.9448,0.775,0.7158,1.0
acl,coronal,0.0002,0.1,0.1851,0.9254,0.8667,0.8704,0.8636
acl,sagittal,0.0002,0.1,0.1793,0.9357,0.85,0.7778,0.9091
acl,axial,0.0002,0.1,0.1484,0.9526,0.8583,0.7778,0.9242
meniscus,coronal,0.0002,0.1,0.2538,0.8408,0.7583,0.75,0.7647
abnormal,sagittal,0.0002,0.1,0.098,0.9558,0.7917,0.7474,0.96
meniscus,sagittal,0.0002,0.1,0.2924,0.778,0.6083,0.9808,0.3235
abnormal,coronal,0.0002,0.1,0.1482,0.8838,0.7333,0.6947,0.88
meniscus,axial,0.0002,0.1,0.2457,0.8374,0.7667,0.75,0.7794
abnormal,axial,0.0002,0.1,0.1178,0.9432,0.8083,0.7684,0.96
acl,coronal,0.003,0.01,0.1848,0.9262,0.8417,0.8519,0.8333
acl,sagittal,0.003,0.01,0.179,0.9355,0.85,0.7778,0.9091
acl,axial,0.003,0.01,0.1479,0.9526,0.8583,0.7778,0.9242
meniscus,coronal,0.003,0.01,0.255,0.8413,0.7583,0.75,0.7647
abnormal,sagittal,0.003,0.01,0.0976,0.9562,0.7917,0.7474,0.96
meniscus,sagittal,0.003,0.01,0.2792,0.7876,0.5833,0.9615,0.2941
abnormal,coronal,0.003,0.01,0.1479,0.8821,0.7333,0.6947,0.88
meniscus,axial,0.003,0.01,0.2455,0.8365,0.7667,0.75,0.7794
abnormal,axial,0.003,0.01,0.1175,0.9432,0.8083,0.7684,0.96
acl,coronal,0.00007,0.1,0.1849,0.9265,0.8417,0.8519,0.8333
acl,sagittal,0.00007,0.1,0.1791,0.9355,0.85,0.7778,0.9091
acl,axial,0.00007,0.1,0.1479,0.9523,0.8583,0.7778,0.9242
